Date,Open,High,Low,Close,Adj Close,Volume
11/27/19,85.970001,85.970001,85.160004,85.419998,84.702049,2865400
11/29/19,85.300003,85.650002,84.839996,85.449997,84.731796,2410900
12/2/19,85.57,85.720001,83.980003,84.510002,83.799706,3801100
12/3/19,83.589996,84.419998,83.269997,84.360001,83.650963,2912400
12/4/19,84.5,85.339996,84.440002,85.18,84.464066,3953400
12/5/19,85.120003,85.419998,84.330002,85.239998,84.52356,3279900
12/6/19,85.669998,85.910004,85.379997,85.480003,84.761543,4104600
12/9/19,85.120003,85.419998,83.830002,83.870003,83.165077,4227000
12/10/19,83.879997,84.629997,83.760002,84.559998,83.849274,3904900
12/11/19,84.620003,85.040001,84.209999,84.910004,84.196342,2937500
12/12/19,84.779999,86.279999,84.639999,85.970001,85.247429,4155200
12/13/19,85.779999,86.709999,85.779999,86.349998,85.624229,3872000
12/16/19,86.949997,87.099998,86.300003,86.400002,85.67382,3843700
12/17/19,86.580002,87.300003,86,87.059998,86.328262,5368500
12/18/19,87.080002,87.269997,86.610001,86.93,86.199356,5831100
12/19/19,86.739998,87.349998,86.489998,87.349998,86.615829,4643700
12/20/19,88.989998,89.239998,86.629997,86.660004,85.931633,11606500
12/23/19,86.309998,87.459999,86.279999,87.349998,86.615829,4067800
12/24/19,87.370003,87.480003,86.980003,87.279999,86.546417,1067700
12/26/19,87.209999,87.519997,86.879997,87.279999,86.546417,2033100
12/27/19,87.489998,87.75,87.019997,87.400002,86.665413,2508100
12/30/19,87.519997,87.790001,86.610001,86.800003,86.070457,2706100
12/31/19,86.5,86.989998,86.269997,86.860001,86.129951,3261100
1/2/20,86.059998,86.959999,85.800003,86.949997,86.219185,4969000
1/3/20,85.75,86.669998,85.589996,85.889999,85.168098,4747000
1/6/20,85.620003,86.360001,85.209999,86.339996,85.614319,5631700
1/7/20,85.769997,86.300003,85.540001,85.860001,85.138359,3408100
1/8/20,86.239998,86.660004,85.93,86.209999,85.485405,5693900
1/9/20,86.300003,86.68,85.75,86.440002,85.713478,6432500
1/10/20,86.790001,86.989998,85.169998,85.360001,84.642555,4680400
1/13/20,85.5,85.730003,84.739998,85.120003,84.404572,5571500
1/14/20,84.129997,86,84.010002,85.739998,85.380455,8751400
1/15/20,86.110001,87.849998,86.110001,87.379997,87.01358,5389700
1/16/20,87.940002,88.309998,87.419998,88.279999,87.909805,5023300
1/17/20,88.449997,89.199997,88.309998,89,88.626793,5879700
1/21/20,88.860001,90.040001,88.610001,89.730003,89.353729,7458100
1/22/20,90.779999,92.449997,90.029999,91.860001,91.4748,9841200
1/23/20,91.809998,91.849998,90.160004,90.730003,90.349541,7418400
1/24/20,90.849998,91.529999,90.209999,90.400002,90.02092,4218700
1/27/20,89.110001,90,88.889999,89.589996,89.21431,4482200
1/28/20,89.699997,90.029999,89.389999,89.540001,89.164528,4983700
1/29/20,89.610001,90.230003,89.07,89.139999,88.766205,3914300
1/30/20,88.290001,89.209999,87.970001,89.160004,88.786125,5248100
1/31/20,89.129997,89.230003,86.900002,87.139999,86.77459,5914100
2/3/20,87.779999,88.400002,86.75,87.059998,86.694923,4675900
2/4/20,88.150002,89.25,88.150002,88.230003,87.860023,3904600
2/5/20,88.870003,89.610001,88.550003,89.559998,89.184441,3565700
